tanggal,seas,anom,total
1992-03-01,JAS,0.67,27.6
1992-05-01,ASO,0.72,27.49
1992-05-01,FMA,1.4,28.67
1992-07-01,SON,0.83,27.57
1992-07-01,MAM,1.3,28.91
1992-09-01,AMJ,1.08,28.8
1992-09-01,OND,1.18,27.89
1992-11-01,MJJ,0.72,28.27
1992-11-01,NDJ,1.43,28.09
1993-01-01,JJA,0.35,27.55
1993-01-01,DJF,0.13,26.82
1993-03-01,JFM,0.31,27.21
1993-03-01,JAS,0.08,27.0
1993-05-01,ASO,-0.15,26.63
1993-05-01,FMA,0.5,27.76
1993-07-01,MAM,0.73,28.34
1993-07-01,SON,-0.22,26.52
1993-09-01,OND,-0.24,26.47
1993-09-01,AMJ,0.76,28.48
1993-11-01,NDJ,-0.05,26.62
1993-11-01,MJJ,0.56,28.11
1994-01-01,JJA,0.28,27.48
1994-01-01,DJF,0.07,26.77
1994-03-01,JFM,0.0,26.9
1994-03-01,JAS,0.22,27.14
1994-05-01,ASO,0.2,26.98
1994-05-01,FMA,0.04,27.31
1994-07-01,SON,0.2,26.95
1994-07-01,MAM,0.17,27.78
1994-09-01,OND,0.2,26.9
1994-09-01,AMJ,0.25,27.97
1994-11-01,MJJ,0.23,27.78
1994-11-01,NDJ,0.19,26.85
1995-01-01,JJA,0.3,27.51
1995-01-01,DJF,0.88,27.58
1995-03-01,JAS,0.3,27.22
1995-03-01,JFM,0.65,27.56
1995-05-01,ASO,0.47,27.25
1995-05-01,FMA,0.46,27.73
1995-07-01,SON,0.66,27.4
1995-07-01,MAM,0.19,27.8
1995-09-01,AMJ,0.03,27.75
1995-09-01,OND,0.93,27.64
1995-11-01,NDJ,0.97,27.64
1995-11-01,MJJ,-0.11,27.43
1996-01-01,JJA,-0.3,26.91
1996-01-01,DJF,-0.88,25.78
1996-03-01,JAS,-0.55,26.38
1996-03-01,JFM,-0.7,26.15
1996-05-01,ASO,-0.81,25.97
1996-05-01,FMA,-0.52,26.72
1996-07-01,SON,-0.97,25.78
1996-07-01,MAM,-0.36,27.25
1996-09-01,AMJ,-0.25,27.48
1996-09-01,OND,-1.05,25.66
1996-11-01,MJJ,-0.24,27.3
1996-11-01,NDJ,-1.01,25.64
1997-01-01,JJA,-0.22,26.99
1997-01-01,DJF,-0.41,26.23
1997-03-01,JAS,-0.27,26.65
1997-03-01,JFM,-0.26,26.59
1997-05-01,ASO,-0.3,26.45
1997-05-01,FMA,-0.03,27.21
1997-07-01,SON,-0.33,26.35
1997-07-01,MAM,0.3,27.9
1997-09-01,OND,-0.39,26.24
1997-09-01,AMJ,0.71,28.44
1997-11-01,MJJ,1.13,28.67
1997-11-01,NDJ,-0.41,26.18
1998-01-01,DJF,2.22,28.85
1998-01-01,JJA,1.48,28.69
1998-03-01,JAS,1.79,28.7
1998-03-01,JFM,1.91,28.76
1998-05-01,ASO,2.04,28.78
1998-05-01,FMA,1.4,28.64
1998-07-01,SON,2.24,28.92
1998-07-01,MAM,1.03,28.63
1998-09-01,OND,2.34,28.97
1998-09-01,AMJ,0.4,28.13
1998-11-01,MJJ,-0.08,27.46
1998-11-01,NDJ,2.37,28.96
1999-01-01,JJA,-0.63,26.57
1999-01-01,DJF,-1.51,25.12
1999-03-01,JFM,-1.25,25.6
1999-03-01,JAS,-0.83,26.08
1999-05-01,ASO,-1.02,25.73
1999-05-01,FMA,-0.93,26.31
1999-07-01,SON,-1.12,25.56
1999-07-01,MAM,-0.8,26.8
1999-09-01,AMJ,-0.79,26.94
1999-09-01,OND,-1.31,25.32
1999-11-01,MJJ,-0.84,26.7
1999-11-01,NDJ,-1.47,25.12
2000-01-01,JJA,-0.9,26.3
2000-01-01,DJF,-1.47,25.17
2000-03-01,JFM,-1.26,25.59
2000-03-01,JAS,-0.94,25.97
2000-05-01,ASO,-1.0,25.75
2000-05-01,FMA,-0.98,26.26
2000-07-01,MAM,-0.81,26.79
2000-07-01,SON,-1.13,25.55
2000-09-01,OND,-1.35,25.27
2000-09-01,AMJ,-0.67,27.06
2000-11-01,NDJ,-1.53,25.06
2000-11-01,MJJ,-0.62,26.92
2001-01-01,DJF,-0.76,25.82
2001-01-01,JJA,-0.48,26.73
2001-03-01,JAS,-0.4,26.52
2001-03-01,JFM,-0.54,26.25
2001-05-01,ASO,-0.42,26.33
2001-05-01,FMA,-0.43,26.79
2001-07-01,MAM,-0.29,27.34
